team,player,value
Países Bajos,Frenkie de Jong,35.0
Países Bajos,Crysencio Summerville,35.0
Países Bajos,Brian Brobbey,30.0
Países Bajos,Robin Roefs,28.0
Países Bajos,Mats Wieffer,25.0
Países Bajos,Denzel Dumfries,25.0
Países Bajos,Quinten Timber,25.0
Países Bajos,Justin Kluivert,25.0
Países Bajos,Noa Lang,22.0
Países Bajos,Lutsharel Geertruida,20.0
Países Bajos,Virgil van Dijk,15.0
Países Bajos,Guus Til,15.0
Países Bajos,Teun Koopmeiners,14.0
Países Bajos,Nathan Aké,12.0
Países Bajos,Memphis Depay,7.0
Países Bajos,Mark Flekken,6.0
Países Bajos,Marten de Roon,3.2
Países Bajos,Wout Weghorst,2.0
Noruega,Erling Haaland,200.0
Noruega,Martin Ødegaard,65.0
Noruega,Jørgen Strand Larsen,40.0
Noruega,Antonio Nusa,32.0
Noruega,Andreas Schjelderup,30.0
Noruega,Oscar Bobb,28.0
Noruega,Julian Ryerson,25.0
Noruega,Sander Berge,25.0
Noruega,Kristoffer Ajer,18.0
Noruega,Alexander Sørloth,18.0
Noruega,Fredrik Aursnes,15.0
Noruega,Leo Østigård,13.0
Noruega,Torbjørn Heggem,13.0
Noruega,Kristian Thorstvedt,12.0
Noruega,Jens Petter Hauge,12.0
Noruega,David Møller Wolfe,8.0
Noruega,Patrick Berg,8.0
Noruega,Henrik Falchener,6.0
Noruega,Sondre Langås,4.0
Noruega,Fredrik Bjørkan,3.5
Noruega,Marcus Pedersen,3.5
Noruega,Sander Tangvik,3.0
Noruega,Morten Thorsby,2.8
Noruega,Thelo Aasgaard,2.8
Noruega,Egil Selvik,1.5
Noruega,Ørjan Nyland,0.8
Bélgica,Jérémy Doku,75.0
Bélgica,Amadou Onana,45.0
Bélgica,Senne Lammens,35.0
Bélgica,Matias Fernandez-Pardo,35.0
Bélgica,Youri Tielemans,30.0
Bélgica,Charles De Ketelaere,30.0
Bélgica,Zeno Debast,28.0
Bélgica,Mike Penders,25.0
Bélgica,Nathan Ngoy,25.0
Bélgica,Diego Moreira,25.0
Bélgica,Koni De Winter,23.0
Bélgica,Maxim De Cuyper,22.0
Bélgica,Joaquin Seys,20.0
Bélgica,Alexis Saelemaekers,20.0
Bélgica,Leandro Trossard,18.0
Bélgica,Arthur Theate,17.0
Bélgica,Thibaut Courtois,15.0
Bélgica,Dodi Lukébakio,15.0
Bélgica,Nicolas Raskin,12.0
Bélgica,Timothy Castagne,8.0
Bélgica,Kevin De Bruyne,8.0
Bélgica,Romelu Lukaku,6.0
Bélgica,Hans Vanaken,5.0
Bélgica,Brandon Mechele,2.8
Bélgica,Thomas Meunier,1.5
Bélgica,Axel Witsel,1.2
Costa de Marfil,Yan Diomande,90.0
Costa de Marfil,Amad Diallo,45.0
Costa de Marfil,Ousmane Diomande,42.0
Costa de Marfil,Bazoumana Touré,40.0
Costa de Marfil,Evan Ndicka,35.0
Costa de Marfil,Ange-Yoan Bonny,35.0
Costa de Marfil,Evann Guessand,25.0
Costa de Marfil,Wilfried Singo,23.0
Costa de Marfil,Christ Inao Oulaï,23.0
Costa de Marfil,Simon Adingra,22.0
Costa de Marfil,Guéla Doué,20.0
Costa de Marfil,Ibrahim Sangaré,20.0
Costa de Marfil,Elye Wahi,18.0
Costa de Marfil,Emmanuel Agbadou,16.0
Costa de Marfil,Odilon Kossounou,15.0
Costa de Marfil,Franck Kessié,12.0
Costa de Marfil,Seko Fofana,8.0
Costa de Marfil,Nicolas Pépé,6.0
Costa de Marfil,Yahia Fofana,5.0
Costa de Marfil,Parfait Guiagon,5.0
Costa de Marfil,Oumar Diakité,5.0
Costa de Marfil,Christopher Operi,4.0
Costa de Marfil,Alban Lafont,3.0
Costa de Marfil,Ghislain Konan,3.0
Costa de Marfil,Mohamed Koné,2.0
Costa de Marfil,Jean Michaël Seri,0.1
Senegal,Iliman Ndiaye,55.0
Senegal,Lamine Camara,40.0
Senegal,Pape Gueye,40.0
Senegal,Ismaïla Sarr,40.0
Senegal,Nicolas Jackson,40.0
Senegal,Habib Diarra,35.0
Senegal,Pape Matar Sarr,30.0
Senegal,Assane Diao,30.0
Senegal,Ibrahim Mbaye,30.0
Senegal,El Hadji Malick Diouf,28.0
Senegal,Mamadou Sarr,22.0
Senegal,Moussa Niakhaté,15.0
Senegal,Bamba Dieng,15.0
Senegal,Antoine Mendy,10.0
Senegal,Ismail Jakobs,8.0
Senegal,Yehvann Diouf,7.0
Senegal,Krépin Diatta,6.0
Senegal,Sadio Mané,6.0
Senegal,Cherif Ndiaye,5.0
Senegal,Kalidou Koulibaly,4.5
Senegal,Edouard Mendy,4.0
Senegal,Bara Sapoko Ndiaye,4.0
Senegal,Pathé Ciss,1.8
Senegal,Mory Diaw,0.9
Senegal,Idrissa Gueye,0.5
Senegal,Abdoulaye Seck,0.4
Turquía,Arda Güler,90.0
Turquía,Kenan Yıldız,75.0
Turquía,Can Uzun,45.0
Turquía,Ferdi Kadıoğlu,35.0
Turquía,Barış Alper Yılmaz,30.0
Turquía,Orkun Kökçü,25.0
Turquía,Kerem Aktürkoğlu,20.0
Turquía,Yunus Akgün,18.0
Turquía,Hakan Çalhanoğlu,16.0
Turquía,Uğurcan Çakır,15.0
Turquía,Ozan Kabak,15.0
Turquía,İsmail Yüksek,15.0
Turquía,Zeki Çelik,14.0
Turquía,Merih Demiral,12.0
Turquía,Mert Müldür,7.0
Turquía,Oğuz Aydın,7.0
Turquía,Abdülkerim Bardakcı,6.5
Turquía,Altay Bayındır,5.0
Turquía,Eren Elmalı,5.0
Turquía,Deniz Gül,5.0
Turquía,Çağlar Söyüncü,3.5
Turquía,Salih Özcan,3.5
Turquía,İrfan Can Kahveci,3.0
Turquía,Kaan Ayhan,1.5
Turquía,Samet Akaydin,1.2
Turquía,Mert Günok,0.5
Marruecos,Achraf Hakimi,80.0
Marruecos,Ayyoub Bouaddi,50.0
Marruecos,Ismael Saibari,40.0
Marruecos,Bilal El Khannouss,35.0
Marruecos,Brahim Díaz,35.0
Marruecos,Chemsdine Talbi,25.0
Marruecos,Neil El Aynaoui,23.0
Marruecos,Samir El Mourabet,22.0
Marruecos,Noussair Mazraoui,18.0
Marruecos,Zakaria El Ouahdi,17.0
Marruecos,Chadi Riad,15.0
Marruecos,Anass Salah-Eddine,12.0
Marruecos,Gessime Yassine,12.0
Marruecos,Sofyan Amrabat,10.0
Marruecos,Azzedine Ounahi,10.0
Marruecos,Ayoube Amaimouni-Echghouyab,10.0
Marruecos,Issa Diop,8.0
Marruecos,Soufiane Rahimi,6.0
Marruecos,Redouane Halhal,5.0
Marruecos,Ayoub El Kaabi,4.5
Marruecos,Amine Sbaï,4.0
Marruecos,Yassine Bounou,3.0
Marruecos,Youssef Belammari,1.2
Marruecos,Ahmed Reda Tagnaouti,1.0
Marruecos,Munir El Kajoui,0.6
Marruecos,Marwane Saadane,0.4
Suecia,Alexander Isak,85.0
Suecia,Viktor Gyökeres,65.0
Suecia,Lucas Bergvall,35.0
Suecia,Yasin Ayari,35.0
Suecia,Anthony Elanga,32.0
Suecia,Isak Hien,22.0
Suecia,Daniel Svensson,22.0
Suecia,Gabriel Gudmundsson,20.0
Suecia,Benjamin Nygren,14.0
Suecia,Viktor Johansson,12.0
Suecia,Gustaf Lagerbielke,10.0
Suecia,Mattias Svanberg,8.0
Suecia,Besfort Zeneli,6.0
Suecia,Victor Lindelöf,5.0
Suecia,Hjalmar Ekdal,5.0
Suecia,Eric Smith,5.0
Suecia,Elliot Stroud,5.0
Suecia,Carl Starfelt,4.5
Suecia,Jesper Karlström,4.0
Suecia,Alexander Bernhardsson,3.0
Suecia,Jacob Widell Zetterström,2.5
Suecia,Herman Johansson,1.8
Suecia,Gustaf Nilsson,1.8
Suecia,Taha Ali,1.5
Suecia,Ken Sema,0.8
Suecia,Kristoffer Nordfeldt,0.175
Croacia,Josko Gvardiol,70.0
Croacia,Luka Vuskovic,60.0
Croacia,Josip Stanisic,40.0
Croacia,Petar Sučić,40.0
Croacia,Martin Baturina,30.0
Croacia,Igor Matanovic,22.0
Croacia,Josip Sutalo,12.0
Croacia,Petar Musa,12.0
Croacia,Mateo Kovacic,10.0
Croacia,Luka Sucic,10.0
Croacia,Nikola Vlašić,10.0
Croacia,Toni Fruk,9.0
Croacia,Nikola Moro,7.0
Croacia,Marin Pongracic,6.5
Croacia,Marco Pašalić,6.5
Croacia,Kristijan Jakic,6.0
Croacia,Mario Pašalić,6.0
Croacia,Dominik Kotarski,5.0
Croacia,Ivor Pandur,4.5
Croacia,Dominik Livakovic,4.0
Croacia,Martin Erlić,4.0
Croacia,Luka Modrić,3.5
Croacia,Duje Caleta-Car,2.8
Croacia,Ante Budimir,2.8
Croacia,Andrej Kramaric,2.5
Croacia,Ivan Perišić,1.2
Estados Unidos,Christian Pulisic,40.0
Estados Unidos,Folarin Balogun,40.0
Estados Unidos,Weston McKennie,30.0
Estados Unidos,Malik Tillman,30.0
Estados Unidos,Ricardo Pepi,30.0
Estados Unidos,Chris Richards,28.0
Estados Unidos,Tyler Adams,25.0
Estados Unidos,Antonee Robinson,22.0
Estados Unidos,Brenden Aaronson,22.0
Estados Unidos,Timothy Weah,20.0
Estados Unidos,Sergiño Dest,18.0
Estados Unidos,Haji Wright,16.0
Estados Unidos,Álex Zendejas,10.0
Estados Unidos,Sebastian Berhalter,8.0
Estados Unidos,Mark McKenzie,7.0
Estados Unidos,Joe Scally,7.0
Estados Unidos,Auston Trusty,6.0
Estados Unidos,Max Arfsten,5.0
Estados Unidos,Giovanni Reyna,4.0
Estados Unidos,Miles Robinson,3.5
Estados Unidos,Alex Freeman,3.5
Estados Unidos,Cristian Roldán,3.5
Estados Unidos,Matt Turner,2.5
Estados Unidos,Chris Brady,2.5
Estados Unidos,Matt Freese,2.0
Estados Unidos,Tim Ream,0.15
Ecuador,Moisés Caicedo,100.0
Ecuador,Willian Pacho,80.0
Ecuador,Piero Hincapié,50.0
Ecuador,Joel Ordóñez,33.0
Ecuador,Nilson Angulo,17.0
Ecuador,Pervis Estupiñán,12.0
Ecuador,Gonzalo Plata,9.0
Ecuador,Kendry Páez,8.0
Ecuador,Denil Castillo,7.0
Ecuador,Jeremy Arévalo,7.0
Ecuador,Pedro Vite,6.0
Ecuador,Kevin Rodríguez,6.0
Ecuador,John Yeboah,5.5
Ecuador,Alan Franco,4.5
Ecuador,Yaimar Medina,4.0
Ecuador,Angelo Preciado,3.5
Ecuador,Alan Minda,3.0
Ecuador,Jackson Porozo,2.5
Ecuador,Jordy Alcívar,2.0
Ecuador,Jordy Caicedo,2.0
Ecuador,Gonzalo Valle,1.8
Ecuador,Anthony Valencia,1.8
Ecuador,Félix Torres,1.0
Ecuador,Enner Valencia,1.0
Ecuador,Moisés Ramírez,0.8
Ecuador,Hernán Galíndez,0.3
Dinamarca,Rasmus Højlund,60.0
Dinamarca,Victor Froholdt,50.0
Dinamarca,Patrick Dorgu,35.0
Dinamarca,William Osula,28.0
Dinamarca,Joachim Andersen,20.0
Dinamarca,Lucas Høgsberg,18.0
Dinamarca,Oliver Provstgaard,16.0
Dinamarca,Mads Hermansen,15.0
Dinamarca,Filip Jørgensen,15.0
Dinamarca,Pierre-Emile Højbjerg,15.0
Dinamarca,Jens Stage,14.0
Dinamarca,Kasper Høgh,12.0
Dinamarca,Rasmus Kristensen,10.0
Dinamarca,Andreas Christensen,8.0
Dinamarca,Adam Daghim,7.5
Dinamarca,Jacob Trenskow,7.5
Dinamarca,Joakim Maehle,7.0
Dinamarca,Alexander Bah,7.0
Dinamarca,Thomas Jørgensen,5.0
Dinamarca,Albert Grønbæk,5.0
Dinamarca,Victor Bak,4.0
Dinamarca,Andreas Jungdal,3.5
Dinamarca,Christian Eriksen,2.5
Dinamarca,Internacional_1,0.2
Dinamarca,Internacional_2,0.2
Dinamarca,Internacional_3,0.2
Uruguay,Federico Valverde,90.0
Uruguay,Maxi Araújo,35.0
Uruguay,Rodrigo Zalazar,30.0
Uruguay,Manuel Ugarte,25.0
Uruguay,Ronald Araujo,20.0
Uruguay,Rodrigo Bentancur,20.0
Uruguay,Darwin Núñez,20.0
Uruguay,Mathías Olivera,15.0
Uruguay,Giorgian de Arrascaeta,14.0
Uruguay,Joaquín Piquerez,12.0
Uruguay,Santiago Bueno,10.0
Uruguay,José María Giménez,9.0
Uruguay,Nicolás de la Cruz,8.0
Uruguay,Agustín Canobbio,8.0
Uruguay,Brian Rodríguez,8.0
Uruguay,Emiliano Martínez,6.5
Uruguay,Facundo Pellistri,5.0
Uruguay,Sebastián Cáceres,4.5
Uruguay,Juan Manuel Sanabria,4.0
Uruguay,Federico Viñas,4.0
Uruguay,Matías Viña,3.5
Uruguay,Rodrigo Aguirre,2.3
Uruguay,Santiago Mele,2.0
Uruguay,Sergio Rochet,1.8
Uruguay,Guillermo Varela,1.0
Uruguay,Fernando Muslera,0.7
Suiza,Johan Manzambi,50.0
Suiza,Gregor Kobel,40.0
Suiza,Dan Ndoye,32.0
Suiza,Denis Zakaria,25.0
Suiza,Ardon Jashari,25.0
Suiza,Noah Okafor,25.0
Suiza,Manuel Akanji,17.0
Suiza,Breel Embolo,15.0
Suiza,Fabian Rieder,12.0
Suiza,Rubén Vargas,12.0
Suiza,Aurèle Amenda,10.0
Suiza,Luca Jaquez,10.0
Suiza,Nico Elvedi,8.0
Suiza,Granit Xhaka,8.0
Suiza,Djibril Sow,7.5
Suiza,Zeki Amdouni,7.0
Suiza,Marvin Keller,6.0
Suiza,Miro Muheim,5.0
Suiza,Michel Aebischer,4.0
Suiza,Remo Freuler,3.0
Suiza,Yvon Mvogo,2.5
Suiza,Eray Cömert,2.5
Suiza,Christian Fassnacht,2.0
Suiza,Cedric Itten,1.8
Suiza,Ricardo Rodríguez,1.4
Suiza,Silvan Widmer,0.8
Italia,Gianluigi Donnarumma,45.0
Italia,Pio Esposito,45.0
Italia,Honest Ahanor,30.0
Italia,Niccolò Pisilli,30.0
Italia,Davide Bartesaghi,22.0
Italia,Cher Ndour,20.0
Italia,Pietro Comuzzo,18.0
Italia,Jeff Ekhator,18.0
Italia,Samuele Inácio,15.0
Italia,Francesco Camarda,15.0
Italia,Luca Reggiani,10.0
Italia,Luca Lipani,7.5
Italia,Luca Koleosho,6.0
Italia,Tommaso Berti,5.5
Italia,Alessio Cacciamani,4.5
Italia,Lorenzo Palmisani,4.0
Italia,Costantino Favasuli,4.0
Italia,Giovanni Daffara,3.5
Italia,Matteo Dagasso,3.5
Italia,Fabio Chiarodia,3.0
Italia,Filippo Mane,2.5
Italia,Seydou Fini,2.5
Italia,Giacomo Faticanti,1.2
Italia,Internacional_1,0.2
Italia,Internacional_2,0.2
Italia,Internacional_3,0.2
Colombia,Luis Díaz,70.0
Colombia,Luis Suárez,30.0
Colombia,Richard Ríos,25.0
Colombia,Jhon Lucumí,22.0
Colombia,Daniel Muñoz,22.0
Colombia,Cucho Hernández,18.0
Colombia,Davinson Sánchez,16.0
Colombia,Jhon Arias,15.0
Colombia,Jorge Carrascal,13.0
Colombia,Andrés Gómez,11.0
Colombia,Gustavo Puerta,10.0
Colombia,Jhon Córdoba,10.0
Colombia,Jefferson Lerma,6.0
Colombia,Willer Ditta,5.5
Colombia,Jáminton Campaz,5.5
Colombia,Kevin Castaño,5.0
Colombia,Juan Portilla,5.0
Colombia,Álvaro Montero,2.5
Colombia,Yerry Mina,2.5
Colombia,Deiver Machado,1.8
Colombia,Juan Fernando Quintero,1.8
Colombia,Johan Mojica,1.5
Colombia,James Rodríguez,1.5
Colombia,Santiago Arias,1.2
Colombia,Camilo Vargas,0.45
Colombia,David Ospina,0.1
Grecia,Christos Tzolis,40.0
Grecia,Vangelis Pavlidis,28.0
Grecia,Konstantinos Koulierakis,25.0
Grecia,Christos Mouzakitis,25.0
Grecia,Anastasios Douvikas,25.0
Grecia,Charalampos Kostoulas,25.0
Grecia,Konstantinos Tzolakis,18.0
Grecia,Konstantinos Mavropanos,18.0
Grecia,Christos Zafeiris,11.0
Grecia,Christos Mandas,8.0
Grecia,Georgios Vagiannidis,8.0
Grecia,Panagiotis Retsos,7.0
Grecia,Andreas Ntoi,5.0
Grecia,Konstantinos Tsimikas,4.5
Grecia,Lazaros Rota,4.5
Grecia,Andreas Tetteh,4.0
Grecia,Nectarios Triantis,3.5
Grecia,Alexandros Kyziridis,3.5
Grecia,Odysseas Vlachodimos,3.0
Grecia,Pantelis Hatzidiakos,3.0
Grecia,Georgios Kyriakopoulos,2.0
Grecia,Sotiris Kontouris,1.5
Grecia,Georgios Masouras,1.5
Grecia,Dimitrios Kourbelis,0.9
Grecia,Athanasios Androutsos,0.7
Grecia,Internacional_1,0.2
Japón,Kaishu Sano,40.0
Japón,Yuito Suzuki,24.0
Japón,Zion Suzuki,20.0
Japón,Takefusa Kubo,20.0
Japón,Hiroki Ito,18.0
Japón,Ritsu Doan,17.0
Japón,Ayase Ueda,17.0
Japón,Ao Tanaka,13.0
Japón,Daizen Maeda,13.0
Japón,Tsuyoshi Watanabe,10.0
Japón,Daichi Kamada,10.0
Japón,Keito Nakamura,10.0
Japón,Keisuke Goto,10.0
Japón,Ko Itakura,8.0
Japón,Kento Shiogai,8.0
Japón,Yukinari Sugawara,5.5
Japón,Ayumu Seko,5.0
Japón,Takehiro Tomiyasu,5.0
Japón,Shuto Machino,4.0
Japón,Junnosuke Suzuki,3.5
Japón,Junya Ito,3.0
Japón,Keisuke Osako,2.0
Japón,Tomoki Hayakawa,2.0
Japón,Koki Ogawa,2.0
Japón,Shogo Taniguchi,0.75
Japón,Yuto Nagatomo,0.1
Georgia,Khvicha Kvaratskhelia,140.0
Georgia,Georges Mikautadze,30.0
Georgia,Giorgi Mamardashvili,28.0
Georgia,Zuriko Davitashvili,12.0
Georgia,Otar Kiteishvili,5.5
Georgia,Giorgi Kochorashvili,4.0
Georgia,Giorgi Kvernadze,4.0
Georgia,Saba Goglichidze,3.5
Georgia,Giorgi Chakvetadze,3.5
Georgia,Giorgi Tsitaishvili,3.0
Georgia,Saba Lobjanidze,3.0
Georgia,Luka Lochoshvili,2.5
Georgia,Irakli Azarovi,2.5
Georgia,Saba Kharebashvili,2.5
Georgia,Giorgi Guliashvili,2.5
Georgia,Giorgi Gocholeishvili,2.0
Georgia,Anzor Mekvabishvili,2.0
Georgia,Irakli Yegoian,1.8
Georgia,Luka Gadrani,1.2
Georgia,Gizo Mamageishvili,1.2
Georgia,Budu Zivzivadze,1.2
Georgia,Lasha Dvali,1.0
Georgia,Otar Kakabadze,1.0
Georgia,Nika Gagnidze,0.9
Georgia,Luka Gugeshashvili,0.7
Georgia,Davit Kereselidze,0.6
Argelia,Ibrahim Maza,45.0
Argelia,Rayan Aït-Nouri,40.0
Argelia,Amine Gouiri,28.0
Argelia,Anis Hadj Moussa,23.0
Argelia,Mohamed Amoura,20.0
Argelia,Farès Chaïbi,15.0
Argelia,Hicham Boudaoui,12.0
Argelia,Houssem Aouar,8.0
Argelia,Farès Ghedjemis,7.5
Argelia,Ramy Bensebaini,7.0
Argelia,Jaouen Hadjam,7.0
Argelia,Rafik Belghali,7.0
Argelia,Yassine Titraoui,7.0
Argelia,Ramiz Zerrouki,6.5
Argelia,Riyad Mahrez,5.0
Argelia,Nabil Bentaleb,4.5
Argelia,Samir Chergui,3.0
Argelia,Adil Boulbina,3.0
Argelia,Zineddine Belaid,1.8
Argelia,Mohamed Amine Tougai,1.3
Argelia,Nadhir Benbouali,1.2
Argelia,Luca Zidane,1.0
Argelia,Aïssa Mandi,1.0
Argelia,Achref Abada,1.0
Argelia,Oussama Benbout,0.85
Argelia,Melvin Mastil,0.25
Ucrania,Ilya Zabarnyi,40.0
Ucrania,Anatoliy Trubin,25.0
Ucrania,Vitaliy Mykolenko,25.0
Ucrania,Georgiy Sudakov,25.0
Ucrania,Viktor Tsygankov,15.0
Ucrania,Artem Dovbyk,15.0
Ucrania,Mykola Matvienko,12.0
Ucrania,Matviy Ponomarenko,12.0
Ucrania,Taras Mykhavko,10.0
Ucrania,Volodymyr Brazhko,10.0
Ucrania,Valeriy Bondar,8.0
Ucrania,Mykola Shaparenko,8.0
Ucrania,Artem Bondarenko,8.0
Ucrania,Oleg Ocheretko,7.0
Ucrania,Ruslan Neshcheret,3.5
Ucrania,Roman Yaremchuk,3.5
Ucrania,Gennadiy Synchuk,3.0
Ucrania,Georgiy Yermakov,2.5
Ucrania,Eduard Sarapiy,2.5
Ucrania,Oleksandr Romanchuk,2.5
Ucrania,Ruslan Malinovskyi,2.5
Ucrania,Yegor Nazaryna,2.5
Ucrania,Oleksandr Nazarenko,2.5
Ucrania,Danylo Ignatenko,1.0
Ucrania,Andriy Yarmolenko,1.0
Ucrania,Internacional_1,0.2
Austria,Konrad Laimer,32.0
Austria,Nicolas Seiwald,25.0
Austria,Paul Wanner,22.0
Austria,David Affengruber,20.0
Austria,Kevin Danso,20.0
Austria,Carney Chukwuemeka,20.0
Austria,Romano Schmid,15.0
Austria,Patrick Wimmer,12.0
Austria,Philipp Lienhart,10.0
Austria,Marco Friedl,10.0
Austria,Xaver Schlager,10.0
Austria,Alexander Prass,9.0
Austria,Stefan Posch,6.0
Austria,Marcel Sabitzer,6.0
