date,home_team,away_team,team,scorer,minute,own_goal,penalty
,Alemania,Suiza,Alemania,Josef Hornauer,42.0,False,False
,Alemania,Suiza,Alemania,Richard Hofmann,75.0,False,False
,Alemania,Suiza,Alemania,Richard Hofmann,85.0,False,False
,Argentina,Estados Unidos,Argentina,Manuel Ferreira,9.0,False,False
,Argentina,Estados Unidos,Argentina,Domingo Tarasconi,24.0,False,False
,Argentina,Estados Unidos,Argentina,Manuel Ferreira,29.0,False,False
,Argentina,Estados Unidos,Argentina,Raimondo Orsi,41.0,False,False
,Argentina,Estados Unidos,Argentina,Roberto Cherro,47.0,False,False
,Argentina,Estados Unidos,Argentina,Roberto Cherro,49.0,False,False
,Argentina,Estados Unidos,Estados Unidos,Rudolph Kuntner,55.0,False,False
,Argentina,Estados Unidos,Argentina,Roberto Cherro,57.0,False,False
,Argentina,Estados Unidos,Argentina,Domingo Tarasconi,63.0,False,False
,Argentina,Estados Unidos,Argentina,Domingo Tarasconi,66.0,False,False
,Argentina,Estados Unidos,Argentina,Raimondo Orsi,73.0,False,False
,Argentina,Estados Unidos,Estados Unidos,Henry Carroll,75.0,False,False
,Argentina,Estados Unidos,Argentina,Domingo Tarasconi,89.0,False,False
,Italia,Francia,Francia,Juste Brouzes,15.0,False,False
,Italia,Francia,Francia,Juste Brouzes,17.0,False,False
,Italia,Francia,Francia,Robert Dauphin,61.0,False,False
,Portugal,Yugoslavia,Portugal,Vítor Silva,25.0,False,False
,Portugal,Yugoslavia,Portugal,Augusto Silva,90.0,False,False
,Países Bajos,Uruguay,Uruguay,Héctor Scarone,20.0,False,False
,Países Bajos,Uruguay,Uruguay,Santos Urdinarán,86.0,False,False
,España,México,España,Luis Regueiro,13.0,False,False
,España,México,España,Luis Regueiro,27.0,False,False
,España,México,España,José Maria Yermo,43.0,False,False
,España,México,España,José Maria Yermo,63.0,False,False
,España,México,España,Martín Marculeta,66.0,False,False
,España,México,España,Ángel Mariscal,70.0,False,False
,España,México,México,Juan Carreño,76.0,False,False
,España,México,España,José Maria Yermo,85.0,False,False
1928-01-06,Italia,España,España,Domingo Zaldua,11.0,False,False
1928-02-06,Argentina,Bélgica,Argentina,Domingo Tarasconi,1.0,False,False
1928-02-06,Argentina,Bélgica,Argentina,Manuel Ferreira,4.0,False,False
1928-02-06,Argentina,Bélgica,Argentina,Domingo Tarasconi,10.0,False,False
1928-02-06,Argentina,Bélgica,Bélgica,Raymond Braine,24.0,False,False
1928-02-06,Argentina,Bélgica,Bélgica,Florimond Vanhalme,28.0,False,False
1928-02-06,Argentina,Bélgica,Bélgica,Jacques Moeschal,53.0,False,False
1928-02-06,Argentina,Bélgica,Argentina,Domingo Tarasconi,75.0,False,False
1928-02-06,Argentina,Bélgica,Argentina,Raimondo Orsi,81.0,False,False
1928-02-06,Argentina,Bélgica,Argentina,Domingo Tarasconi,89.0,False,False
1928-03-06,Uruguay,Alemania,Uruguay,Pedro Petrone,35.0,False,False
