team,elo_rating
Puerto Rico,1530.8864817862213
Tahiti,1529.601611022046
Slovakia,1529.459016881917
Artsakh,1529.288302466233
Padania,1529.272436676916
Isle of Wight,1528.497460254555
Gabon,1528.155993823306
Maule Sur,1526.116756228607
Guinea,1524.1056977488663
Benin,1522.8856055340593
Mozambique,1519.292400292333
China,1515.255165883983
Republic of Ireland,1515.079114744822
Chameria,1514.9147862806287
Trinidad and Tobago,1514.7519671823998
Biafra,1514.6149715063925
Cascadia,1514.051326451036
Yorkshire,1513.6
Raetia,1513.6
Kernow,1512.2889893994723
Ellan Vannin,1511.4749090897078
Tajikistan,1510.2145931706768
Réunion,1509.6131054381822
Albania,1507.776637927924
El Salvador,1507.155850450272
Orkney,1505.179655241329
Indonesia,1504.616741138156
Mayotte,1504.5920972998426
Georgia,1502.3547430318124
Panjab,1502.0370866918588
Gambia,1501.3290701703277
Western Armenia,1500.8749609564986
Parishes of Jersey,1500.5320859386202
Mapuche,1500.5320859386202
Lebanon,1500.0568093983204
Kuwait,1499.780396360252
Matabeleland,1499.1395591887456
Shetland,1499.1329573094638
Greenland,1498.2938062932049
Bosnia and Herzegovina,1498.2518153417318
United Koreans in Japan,1496.0287716598707
Philippines,1495.984935596888
Equatorial Guinea,1495.8392584585802
Israel,1495.0350970086486
Fiji,1494.0380823172661
Gozo,1492.6097181197308
Székely Land,1491.5755129033103
Hitra,1487.1305024227822
Kyrgyzstan,1486.5319067181829
Ticino,1486.4
Chagos Islands,1485.86791406138
Yoruba Nation,1485.8525574784487
Cuba,1484.4166585203754
Hmong,1483.5143124999577
Sierra Leone,1482.3832390435673
Venezuela,1481.0007293928318
French Guiana,1481.0004081516229
Singapore,1479.006478725672
Kenya,1478.7979955393444
Saint Martin,1477.2152802410542
North Korea,1476.56583906355
Vanuatu,1475.963437605925
Kabylia,1475.8442738485337
Menorca,1473.489214312367
Aymara,1473.3511578327727
Barawa,1472.7605543215539
Two Sicilies,1472.5082555359263
Western Isles,1471.7497542546475
Eritrea,1471.7230967774249
East Turkestan,1471.7052532297248
Sint Maarten,1471.161191137703
Madagascar,1468.6187460524866
Togo,1468.2363643307096
Libya,1467.082596338558
Martinique,1465.8771953962748
Falkland Islands,1463.5648604085638
Rwanda,1462.9482485959627
Niger,1462.8666674147996
Liberia,1461.6184376032577
Marshall Islands,1461.509999840177
Hong Kong,1461.3577016138868
Samoa,1461.229492836233
Sudan,1460.534485461816
Åland Islands,1459.9955185656306
Finland,1459.4980705357502
Saint Vincent and the Grenadines,1457.705229900201
Turkmenistan,1457.460825874436
Sápmi,1454.1146468582604
Northern Mariana Islands,1453.4493812427293
Guinea-Bissau,1446.877235885071
Zimbabwe,1445.8194566958005
Cook Islands,1445.114377998074
Comoros,1445.013278512784
Malawi,1444.2619977894478
Namibia,1443.8525344683785
Alderney,1443.654321904927
Botswana,1440.3361710853505
Solomon Islands,1439.8433128316715
Saint Kitts and Nevis,1439.4262250779339
Kazakhstan,1438.776442465381
Bulgaria,1438.6182313419595
Mauritania,1438.5757672333314
Northern Ireland,1436.9700641501265
Bolivia,1434.7559937280034
Saint Lucia,1434.687628912786
Tanzania,1434.511526657319
Montserrat,1434.0152337226866
Yemen,1433.2010822784534
Frøya,1433.1558036554225
Lesotho,1431.6228794395765
Belize,1430.76355988596
Peru,1430.15109381406
Bermuda,1429.6705553638965
Grenada,1424.2531941133834
Iceland,1420.558152971384
Saint Helena,1416.41025469491
Burundi,1415.0190523495378
Tonga,1414.4957862575154
Ethiopia,1413.4110319978963
Chile,1413.0799142880896
Aruba,1412.718789489549
Bonaire,1410.6880931226674
Tuvalu,1410.1504077172772
Montenegro,1405.904295682071
Afghanistan,1405.752316277052
India,1405.5826869290404
Tibet,1404.0950914226767
Congo,1403.9058426102904
Belarus,1398.967535898988
Central African Republic,1396.5463960916293
Brunei,1393.7741963309713
Pakistan,1392.2856775190994
Macau,1391.544387264722
Cambodia,1386.2781188149581
Cayman Islands,1385.238866854766
Turks and Caicos Islands,1384.584559350491
Dominica,1381.706405061123
Bangladesh,1380.8068084424065
Armenia,1380.6222338511805
Myanmar,1379.7316934681483
Eswatini,1378.5190446169736
Somalia,1373.5344219328874
Mauritius,1369.8473217113674
Luxembourg,1368.4383062314898
South Sudan,1362.6658229894736
Faroe Islands,1362.4235571845059
Barbados,1360.3830597147924
Sri Lanka,1359.961273119539
American Samoa,1358.0902765574265
Chad,1357.8264829657373
Estonia,1357.4459682333697
Azerbaijan,1356.7057674913217
Antigua and Barbuda,1356.2030479487214
Mongolia,1354.5989468287744
Moldova,1349.4488963191775
Guam,1348.3630346052967
Nepal,1345.6480546976914
British Virgin Islands,1343.6409108146238
Djibouti,1338.9191726158033
São Tomé and Príncipe,1335.2724422762155
Cyprus,1333.1363804075424
Laos,1332.5724537871251
Bhutan,1331.322954329108
United States Virgin Islands,1331.1398627537724
Maldives,1330.1355887013297
Timor-Leste,1326.1979205753785
Malta,1319.513201982713
Latvia,1317.1328459790743
Taiwan,1301.0472041170674
Anguilla,1291.1201258200665
Bahamas,1277.4285539555938
Lithuania,1264.5355405550854
Seychelles,1241.6249922386248
Andorra,1229.8306734397227
Gibraltar,1199.905294917929
Liechtenstein,1169.3799311746243
San Marino,1162.4222996962071
